Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1/2/15,178.2843046,178.7162367,176.3837928,177.463623,121465900,2,4,1,1,2015
1/5/15,176.3751623,176.5479325,173.939072,174.2586975,169632600,5,0,2,1,2015
1/6/15,174.5783176,175.1225563,171.7880399,172.6173553,209151400,6,1,2,1,2015
1/7/15,173.9995177,175.1225438,173.5330369,174.7683563,125346700,7,2,2,1,2015
1/8/15,176.2369261,178.094242,176.2196583,177.8696289,147217800,8,3,2,1,2015
1/9/15,178.3015315,178.3188125,175.804965,176.4442291,158567300,9,4,2,1,2015
1/12/15,176.5824668,176.7466031,174.4314404,175.0620575,144396100,12,0,3,1,2015
1/13/15,176.3319333,177.506789,173.2133834,174.5696564,214553300,13,1,3,1,2015
1/14/15,172.4704809,173.7230945,171.5375191,173.5157623,192991100,14,2,3,1,2015
1/15/15,174.1809403,174.5091998,171.8053138,171.9262543,176613900,15,3,3,1,2015
1/16/15,171.7103017,174.3450903,171.5202505,174.180954,211879600,16,4,3,1,2015
1/20/15,174.8461093,175.1225522,172.9196959,174.5523987,130991100,20,1,4,1,2015
1/21/15,174.0686258,175.9345755,173.584864,175.4335327,122942700,21,2,4,1,2015
1/22/15,176.2196503,178.1806124,174.7856327,178.0424042,174356000,22,3,4,1,2015
1/23/15,177.7746002,178.0424091,176.928017,177.0662384,117516800,23,4,4,1,2015
1/26/15,176.8415841,177.5758605,176.0986606,177.480835,92009700,26,0,5,1,2015
1/27/15,175.3385472,176.3319859,174.2759977,175.1398621,134044600,27,1,5,1,2015
1/28/15,176.3751242,176.4787836,172.695068,172.8937531,168514300,28,2,5,1,2015
1/29/15,173.1010911,174.7597086,171.6325116,174.4919128,173585400,29,3,5,1,2015
1/30/15,173.2652511,174.6474259,172.0212845,172.2977142,197729700,30,4,5,1,2015
2/2/15,172.8160206,174.5264678,170.924156,174.4314423,163107000,2,0,6,2,2015
2/3/15,175.3644117,176.9625655,174.9756755,176.9539185,124212900,3,1,6,2,2015
2/4/15,176.1591956,177.4204432,175.8050081,176.2801361,134306700,4,2,6,2,2015
2/5/15,176.9712434,178.2152101,176.8934987,178.0597076,97953200,5,3,6,2,2015
2/6/15,178.439774,179.0272085,177.0230374,177.567276,125672000,6,4,6,2,2015
2/9/15,176.8934624,177.64502,176.3492238,176.772522,87219000,9,0,7,2,2015
2/10/15,177.8523591,178.9235422,176.8157116,178.6557465,96164200,10,1,7,2,2015
2/11/15,178.482924,179.2085666,177.8091112,178.7593536,91087800,11,2,7,2,2015
2/12/15,179.5887061,180.5389619,178.7939528,180.4784851,97545900,12,3,7,2,2015
2/13/15,180.608145,181.2733111,180.3403359,181.2214813,93670400,13,4,7,2,2015
2/17/15,180.8931509,181.6879175,180.6340022,181.5065002,76968200,17,1,8,2,2015
2/18/15,181.1177712,181.6015331,180.8413284,181.5237885,80652900,18,2,8,2,2015
2/19/15,180.9017694,181.7742673,180.7549141,181.394165,91462500,19,3,8,2,2015
2/20/15,180.9622718,182.5604259,180.3143737,182.4826813,140896400,20,4,8,2,2015
2/23/15,182.2235401,182.4567871,181.8261567,182.4567871,74411100,23,0,9,2,2015
2/24/15,182.3789988,183.1823993,182.0680071,182.9750671,72472300,24,1,9,2,2015
2/25/15,182.8454949,183.3465378,182.4653926,182.8195801,73061700,25,2,9,2,2015
2/26/15,182.7245476,182.8886839,181.9729769,182.6036072,72697900,26,3,9,2,2015
2/27/15,182.4999237,182.7763665,181.9297834,181.9816132,108076000,27,4,9,2,2015
3/2/15,182.0852728,183.1910178,182.0334431,183.1305542,87491400,2,0,10,3,2015
3/3/15,182.6813555,183.1823983,181.4805849,182.3789978,110325800,3,1,10,3,2015
